Title,Favourites,Comments, Link
TD Bugatti Veyron (Vector),36,9,https://www.deviantart.com/gordon003/art/TD-Bugatti-Veyron-Vector-748635584
TD Chevrolet Silverado (Comm. + Vector),29,3,https://www.deviantart.com/gordon003/art/TD-Chevrolet-Silverado-Comm-Vector-747988892
Gwen + Cameron Superhero at Night (Overdue comm),110,27,https://www.deviantart.com/gordon003/art/Gwen-Cameron-Superhero-at-Night-Overdue-comm-747831171
Ella Formal Dress (#8),79,11,https://www.deviantart.com/gordon003/art/Ella-Formal-Dress-8-747781378
Heather Beach Photoshoot,116,13,https://www.deviantart.com/gordon003/art/Heather-Beach-Photoshoot-745492969
Sky 76ers - Trust the Process! (Vector),92,13,https://www.deviantart.com/gordon003/art/Sky-76ers-Trust-the-Process-Vector-743399655
Carrie Hot Pose (Vector),121,19,https://www.deviantart.com/gordon003/art/Carrie-Hot-Pose-Vector-742341984
Ana - Music Listener (OC),32,7,https://www.deviantart.com/gordon003/art/Ana-Music-Listener-OC-742197244
My Response to a certain user,24,20,https://www.deviantart.com/gordon003/art/My-Response-to-a-certain-user-739837459
Jen Bikini Night Out,118,10,https://www.deviantart.com/gordon003/art/Jen-Bikini-Night-Out-739094404
Jen Formal Night Out,92,9,https://www.deviantart.com/gordon003/art/Jen-Formal-Night-Out-739084976
Scarlett Chrsyler Turbine Car (Commission),45,5,https://www.deviantart.com/gordon003/art/Scarlett-Chrsyler-Turbine-Car-Commission-737790986
Kitty Sitting Pose (Vector),142,8,https://www.deviantart.com/gordon003/art/Kitty-Sitting-Pose-Vector-737790748
Dawn Sitting (Vector),156,7,https://www.deviantart.com/gordon003/art/Dawn-Sitting-Vector-737790587
Emily Sitting (Vector),64,6,https://www.deviantart.com/gordon003/art/Emily-Sitting-Vector-737790344
Emily Oldsmobile Cutlass 4-4-2 (Commission),44,6,https://www.deviantart.com/gordon003/art/Emily-Oldsmobile-Cutlass-4-4-2-Commission-736824509
TD Oldsmobile Cutlass 4-4-2 (Vector),16,5,https://www.deviantart.com/gordon003/art/TD-Oldsmobile-Cutlass-4-4-2-Vector-736688117
Devin BMW 4 Series Convertible (Commission),35,5,https://www.deviantart.com/gordon003/art/Devin-BMW-4-Series-Convertible-Commission-736069507
TD BMW 4 Series Convertible (Vector),24,2,https://www.deviantart.com/gordon003/art/TD-BMW-4-Series-Convertible-Vector-735899897
Dawn Delorean DMC-12 (Commission),91,12,https://www.deviantart.com/gordon003/art/Dawn-Delorean-DMC-12-Commission-733672870
Kitty Toyota 86,87,15,https://www.deviantart.com/gordon003/art/Kitty-Toyota-86-733512657
TD Toyota 86 (Vector),34,5,https://www.deviantart.com/gordon003/art/TD-Toyota-86-Vector-733359636
Dakota Lamborghini Huracan,122,17,https://www.deviantart.com/gordon003/art/Dakota-Lamborghini-Huracan-733058142
Beach Friend Drink (Commission),104,13,https://www.deviantart.com/gordon003/art/Beach-Friend-Drink-Commission-732905088
TD Lamborghini Huracan (Vector),33,7,https://www.deviantart.com/gordon003/art/TD-Lamborghini-Huracan-Vector-732375224
Andrea Martins OC 2 (Commission),33,12,https://www.deviantart.com/gordon003/art/Andrea-Martins-OC-2-Commission-732182244
TD Plymouth Fury (Comm. + Vector),41,8,https://www.deviantart.com/gordon003/art/TD-Plymouth-Fury-Comm-Vector-732063154
Heather vs Kitty (Commission),64,12,https://www.deviantart.com/gordon003/art/Heather-vs-Kitty-Commission-731719011
Dakota + Topher: I don't know what to do... (Comm),43,6,https://www.deviantart.com/gordon003/art/Dakota-Topher-I-don-t-know-what-to-do-Comm-731512230
CxD: You Belong to Me,92,30,https://www.deviantart.com/gordon003/art/CxD-You-Belong-to-Me-730483033
Courtney + Gwen Comedy Trouble (Commission),72,34,https://www.deviantart.com/gordon003/art/Courtney-Gwen-Comedy-Trouble-Commission-729964087
Devin + Trent Rap Group (Commission),48,15,https://www.deviantart.com/gordon003/art/Devin-Trent-Rap-Group-Commission-729490036
Contest Entry: Scottie,29,11,https://www.deviantart.com/gordon003/art/Contest-Entry-Scottie-726205701
Chris Cold Challenge (Commission),159,19,https://www.deviantart.com/gordon003/art/Chris-Cold-Challenge-Commission-725641989
Bridgette vs Trent Fear Factor Challenge (Comm),54,32,https://www.deviantart.com/gordon003/art/Bridgette-vs-Trent-Fear-Factor-Challenge-Comm-724833982
Crimson vs Dawn (Commission),98,17,https://www.deviantart.com/gordon003/art/Crimson-vs-Dawn-Commission-724300041
TD Winter Night Out (Commission),129,28,https://www.deviantart.com/gordon003/art/TD-Winter-Night-Out-Commission-723338806
TD Delorean DMC-12 (Comm + Vector),36,12,https://www.deviantart.com/gordon003/art/TD-Delorean-DMC-12-Comm-Vector-723061735
Kitty Formal Dress (#7) - Maserati Version,56,3,https://www.deviantart.com/gordon003/art/Kitty-Formal-Dress-7-Maserati-Version-722582814
TD Maserati Quattroporte (Vector),29,10,https://www.deviantart.com/gordon003/art/TD-Maserati-Quattroporte-Vector-722515936
Kitty Swimsuit (Vector),114,7,https://www.deviantart.com/gordon003/art/Kitty-Swimsuit-Vector-722388359
Kitty Formal Dress (#7) - Limo Version,77,26,https://www.deviantart.com/gordon003/art/Kitty-Formal-Dress-7-Limo-Version-722303127
Total Drama Limo 1 (Vector),36,8,https://www.deviantart.com/gordon003/art/Total-Drama-Limo-1-Vector-722149736
Zoey x Mike 2 (Vector),121,9,https://www.deviantart.com/gordon003/art/Zoey-x-Mike-2-Vector-721852953
Zoey x Mike 1 (Vector),98,11,https://www.deviantart.com/gordon003/art/Zoey-x-Mike-1-Vector-721843560
Gordon's 2017 Art Summary,12,4,https://www.deviantart.com/gordon003/art/Gordon-s-2017-Art-Summary-721812523
Courtney in Zoey Outfit 2 (Comm + Vector),143,17,https://www.deviantart.com/gordon003/art/Courtney-in-Zoey-Outfit-2-Comm-Vector-721689881
Courtney in Zoey Outfit (Comm + Vector),111,30,https://www.deviantart.com/gordon003/art/Courtney-in-Zoey-Outfit-Comm-Vector-721656343
Blaineley vs Ellody (Commission),71,25,https://www.deviantart.com/gordon003/art/Blaineley-vs-Ellody-Commission-721589409
Rachael - Athletic Beauty (OC),50,19,https://www.deviantart.com/gordon003/art/Rachael-Athletic-Beauty-OC-720824716
Devin + Ennui Hugging (Commission),21,8,https://www.deviantart.com/gordon003/art/Devin-Ennui-Hugging-Commission-720417597
Dawn Swimsuit (Vector),205,21,https://www.deviantart.com/gordon003/art/Dawn-Swimsuit-Vector-720136848
Dawn Formal Dress (#6),108,32,https://www.deviantart.com/gordon003/art/Dawn-Formal-Dress-6-720029073
Bridgette Swimsuit Back view (Vector),195,30,https://www.deviantart.com/gordon003/art/Bridgette-Swimsuit-Back-view-Vector-719693228
Courtney + Gwen Heroine Trouble (Commission),66,14,https://www.deviantart.com/gordon003/art/Courtney-Gwen-Heroine-Trouble-Commission-719661841
Bridgette vs Kitty (Commission),69,24,https://www.deviantart.com/gordon003/art/Bridgette-vs-Kitty-Commission-719195970
Andrea Martins OC (Commission),30,11,https://www.deviantart.com/gordon003/art/Andrea-Martins-OC-Commission-718342051
Total Drama Background 5,23,2,https://www.deviantart.com/gordon003/art/Total-Drama-Background-5-717625700
Carrie x Devin Autumn (Commission),71,27,https://www.deviantart.com/gordon003/art/Carrie-x-Devin-Autumn-Commission-717544600
Jasmine Swimsuit (Vector),160,9,https://www.deviantart.com/gordon003/art/Jasmine-Swimsuit-Vector-716854765
Crimson Swimsuit (Vector),111,5,https://www.deviantart.com/gordon003/art/Crimson-Swimsuit-Vector-716846366
Josee Swimsuit (Vector),43,9,https://www.deviantart.com/gordon003/art/Josee-Swimsuit-Vector-716832813
Josee Formal Dress (#5),42,17,https://www.deviantart.com/gordon003/art/Josee-Formal-Dress-5-716770768
Luna in Japanese School Costume (Commission),22,6,https://www.deviantart.com/gordon003/art/Luna-in-Japanese-School-Costume-Commission-716520342
Devin + Paul (Commission + Vector),27,2,https://www.deviantart.com/gordon003/art/Devin-Paul-Commission-Vector-716426000
Ennui Doing Weights Up (Commission),24,3,https://www.deviantart.com/gordon003/art/Ennui-Doing-Weights-Up-Commission-716333296
Crimson Formal Dress (#4),132,26,https://www.deviantart.com/gordon003/art/Crimson-Formal-Dress-4-715507125
Dawn in Swimsuit (Commission),83,23,https://www.deviantart.com/gordon003/art/Dawn-in-Swimsuit-Commission-715451248
TD Basketball Couple: Anne Maria + Lightning (Com),55,21,https://www.deviantart.com/gordon003/art/TD-Basketball-Couple-Anne-Maria-Lightning-Com-713154964
Carrie x Devin Formal Kiss (Vector),49,7,https://www.deviantart.com/gordon003/art/Carrie-x-Devin-Formal-Kiss-Vector-712174990
TD Horror Prom (Halloween Special),67,29,https://www.deviantart.com/gordon003/art/TD-Horror-Prom-Halloween-Special-712103250
Jasmine Formal Dress (#3),100,14,https://www.deviantart.com/gordon003/art/Jasmine-Formal-Dress-3-711777061
Male Beach Party (Commission),25,7,https://www.deviantart.com/gordon003/art/Male-Beach-Party-Commission-711598003
Emma Swimsuit (Vector),180,17,https://www.deviantart.com/gordon003/art/Emma-Swimsuit-Vector-710249161
Emma Formal Dress (#2),117,32,https://www.deviantart.com/gordon003/art/Emma-Formal-Dress-2-710094561
Anne Maria Cheetah Swimsuit (Vector),90,14,https://www.deviantart.com/gordon003/art/Anne-Maria-Cheetah-Swimsuit-Vector-708440505
Anne Maria Formal Dress (#1),84,28,https://www.deviantart.com/gordon003/art/Anne-Maria-Formal-Dress-1-708079351
Gwen as Elvira,161,24,https://www.deviantart.com/gordon003/art/Gwen-as-Elvira-706978157
Sky Olympic Swimsuit (Vector),152,29,https://www.deviantart.com/gordon003/art/Sky-Olympic-Swimsuit-Vector-706805340
Carrie + Zoey in Beach (Comm + NSFW available),162,30,https://www.deviantart.com/gordon003/art/Carrie-Zoey-in-Beach-Comm-NSFW-available-706477372
Duncan Pose 1,18,2,https://www.deviantart.com/gordon003/art/Duncan-Pose-1-706117163
Zoey Hot Pose 1 (Vector),207,28,https://www.deviantart.com/gordon003/art/Zoey-Hot-Pose-1-Vector-705767899
Carrie Hot Pose 1 (Vector),87,20,https://www.deviantart.com/gordon003/art/Carrie-Hot-Pose-1-Vector-704939768
TD Summer Kitty in Bikini (Vector),94,2,https://www.deviantart.com/gordon003/art/TD-Summer-Kitty-in-Bikini-Vector-700788040
TD Summer Bridgette in Bikini (Vector),143,10,https://www.deviantart.com/gordon003/art/TD-Summer-Bridgette-in-Bikini-Vector-700787593
TD Summer Courtney in Bikini (Vector),109,6,https://www.deviantart.com/gordon003/art/TD-Summer-Courtney-in-Bikini-Vector-700787101
TD Summer Jen in Bikini (Vector),59,2,https://www.deviantart.com/gordon003/art/TD-Summer-Jen-in-Bikini-Vector-700785151
TD Beach Babes,147,37,https://www.deviantart.com/gordon003/art/TD-Beach-Babes-700777539
TD Summer Carrie in Bikini (Vector),105,23,https://www.deviantart.com/gordon003/art/TD-Summer-Carrie-in-Bikini-Vector-699253761
Total Drama Background 4,15,1,https://www.deviantart.com/gordon003/art/Total-Drama-Background-4-697755337
Bikini Zoey in Summer (My version),141,10,https://www.deviantart.com/gordon003/art/Bikini-Zoey-in-Summer-My-version-697557724
Dress Zoey in Summer (Raffle Winner),103,13,https://www.deviantart.com/gordon003/art/Dress-Zoey-in-Summer-Raffle-Winner-697557290
TD Zoey in Bikini (Vector),137,27,https://www.deviantart.com/gordon003/art/TD-Zoey-in-Bikini-Vector-697342594
Daisy OC (Commission),16,9,https://www.deviantart.com/gordon003/art/Daisy-OC-Commission-696121302
TD Basketball Poster (Request),69,36,https://www.deviantart.com/gordon003/art/TD-Basketball-Poster-Request-692800019
TD Basketball: Dakota,67,20,https://www.deviantart.com/gordon003/art/TD-Basketball-Dakota-692388523
TD Basketball Couple: Carrie x Devin,73,35,https://www.deviantart.com/gordon003/art/TD-Basketball-Couple-Carrie-x-Devin-691866227
Sky as Crysta (Birthday Present),114,37,https://www.deviantart.com/gordon003/art/Sky-as-Crysta-Birthday-Present-690818133
Dakota in Summer Beach,123,27,https://www.deviantart.com/gordon003/art/Dakota-in-Summer-Beach-690633462
Lindsay in Summer Beach,73,29,https://www.deviantart.com/gordon003/art/Lindsay-in-Summer-Beach-689134520
Lindsay Summer Pose,144,24,https://www.deviantart.com/gordon003/art/Lindsay-Summer-Pose-689019559
Nancy X Jacques Prom Dance (Request),10,24,https://www.deviantart.com/gordon003/art/Nancy-X-Jacques-Prom-Dance-Request-688783104
Chris as Damaged Iron Man (Commission),26,11,https://www.deviantart.com/gordon003/art/Chris-as-Damaged-Iron-Man-Commission-688576252
Dawn The Nature Protector,57,19,https://www.deviantart.com/gordon003/art/Dawn-The-Nature-Protector-687743538
Dawn Snow Queen Archer (Revised),58,11,https://www.deviantart.com/gordon003/art/Dawn-Snow-Queen-Archer-Revised-686984976
Japanese Kitty,41,4,https://www.deviantart.com/gordon003/art/Japanese-Kitty-686022863
Kitty vs Carrie Japanese Fight,61,26,https://www.deviantart.com/gordon003/art/Kitty-vs-Carrie-Japanese-Fight-686020842
Japanese Carrie,64,13,https://www.deviantart.com/gordon003/art/Japanese-Carrie-685778510
Kitty as Harley Quinn,55,18,https://www.deviantart.com/gordon003/art/Kitty-as-Harley-Quinn-683610816
TD Stephanie as Storm,45,17,https://www.deviantart.com/gordon003/art/TD-Stephanie-as-Storm-680163334
How not to use portal gun! (1st Animation),6,4,https://www.deviantart.com/gordon003/art/How-not-to-use-portal-gun-1st-Animation-679625088
Scott And Allie Marriage,8,4,https://www.deviantart.com/gordon003/art/Scott-And-Allie-Marriage-677925145
TD Junior Detective,31,13,https://www.deviantart.com/gordon003/art/TD-Junior-Detective-675542796
Lindsay Wonder Woman Movie Poster,77,34,https://www.deviantart.com/gordon003/art/Lindsay-Wonder-Woman-Movie-Poster-670221120
How I respond to haters in DV,9,2,https://www.deviantart.com/gordon003/art/How-I-respond-to-haters-in-DV-668736623
Total Drama Background 2,12,3,https://www.deviantart.com/gordon003/art/Total-Drama-Background-2-668421010
Allie Promo Picture TDI,15,9,https://www.deviantart.com/gordon003/art/Allie-Promo-Picture-TDI-668317301
Total Drama Background3,8,0,https://www.deviantart.com/gordon003/art/Total-Drama-Background3-666046614
The Fake Betrayal of Love,21,11,https://www.deviantart.com/gordon003/art/The-Fake-Betrayal-of-Love-665842283
Chef Hatchet dancing with Leshawna,10,6,https://www.deviantart.com/gordon003/art/Chef-Hatchet-dancing-with-Leshawna-664252594
Rock x Taylor Valentine in Paris (Late!),20,6,https://www.deviantart.com/gordon003/art/Rock-x-Taylor-Valentine-in-Paris-Late-663696024
Baby-showering Party with Blaineley,31,29,https://www.deviantart.com/gordon003/art/Baby-showering-Party-with-Blaineley-662046699
Blaineley and Geoff Make Out in Celebrity Manhunt,13,7,https://www.deviantart.com/gordon003/art/Blaineley-and-Geoff-Make-Out-in-Celebrity-Manhunt-658114782
Beach Wedding Party with Blaineley and Geoff,52,20,https://www.deviantart.com/gordon003/art/Beach-Wedding-Party-with-Blaineley-and-Geoff-657528221
Blaineley Geoff Beach Wedding,18,4,https://www.deviantart.com/gordon003/art/Blaineley-Geoff-Beach-Wedding-655730344
Total Drama Background 1,8,0,https://www.deviantart.com/gordon003/art/Total-Drama-Background-1-655228407
Gordon's 2016 Summary of Art (Monthly),4,3,https://www.deviantart.com/gordon003/art/Gordon-s-2016-Summary-of-Art-Monthly-655224818
Colour Courtney!,15,1,https://www.deviantart.com/gordon003/art/Colour-Courtney-654239606
Blaineley Geoff Wedding Card,14,4,https://www.deviantart.com/gordon003/art/Blaineley-Geoff-Wedding-Card-653774198
Interviewed By Blaineley,53,5,https://www.deviantart.com/gordon003/art/Interviewed-By-Blaineley-653418693
My Digital Art History (2016) 1st,3,7,https://www.deviantart.com/gordon003/art/My-Digital-Art-History-2016-1st-651670969
Blaineley and Geoff Tango Dance (Art Trade),13,4,https://www.deviantart.com/gordon003/art/Blaineley-and-Geoff-Tango-Dance-Art-Trade-650040538
Blaineley and Geoff in awe (Art Trade),9,7,https://www.deviantart.com/gordon003/art/Blaineley-and-Geoff-in-awe-Art-Trade-648960225
The Rise of Blaineley,61,6,https://www.deviantart.com/gordon003/art/The-Rise-of-Blaineley-648627150
Blaineley in Jessica Rabbit Pose,67,5,https://www.deviantart.com/gordon003/art/Blaineley-in-Jessica-Rabbit-Pose-648626854
Gordon V3,2,1,https://www.deviantart.com/gordon003/art/Gordon-V3-648113838
My Ridonculous Race Team Ranking,8,13,https://www.deviantart.com/gordon003/art/My-Ridonculous-Race-Team-Ranking-645358124
Total Drama Draft Team Challenge Game,43,64,https://www.deviantart.com/gordon003/art/Total-Drama-Draft-Team-Challenge-Game-630575977
Courtney as my coaching teacher,6,10,https://www.deviantart.com/gordon003/art/Courtney-as-my-coaching-teacher-630035942
Hello? Are you alright?,12,8,https://www.deviantart.com/gordon003/art/Hello-Are-you-alright-629175932
Tango Dance by Caitlyn and Alejandro,10,5,https://www.deviantart.com/gordon003/art/Tango-Dance-by-Caitlyn-and-Alejandro-620770852
Sky in Brazilian Suit (Birthday Present),14,7,https://www.deviantart.com/gordon003/art/Sky-in-Brazilian-Suit-Birthday-Present-619925124
Gordon? Gordon? GOORRRDDDDOOONNN!!,8,23,https://www.deviantart.com/gordon003/art/Gordon-Gordon-GOORRRDDDDOOONNN-619716895
Trouble with my first commission,3,7,https://www.deviantart.com/gordon003/art/Trouble-with-my-first-commission-619289526
Blainerific! Total Drama,45,9,https://www.deviantart.com/gordon003/art/Blainerific-Total-Drama-617789407
Lindsay in Brazilian Costume,66,9,https://www.deviantart.com/gordon003/art/Lindsay-in-Brazilian-Costume-617582277
First TD OC I ever made!,4,15,https://www.deviantart.com/gordon003/art/First-TD-OC-I-ever-made-617168903
Me in Total Drama form (New Version),1,0,https://www.deviantart.com/gordon003/art/Me-in-Total-Drama-form-New-Version-616527136
Full version of Carrie's drawing of Devin (Part 2),30,5,https://www.deviantart.com/gordon003/art/Full-version-of-Carrie-s-drawing-of-Devin-Part-2-615287319
Carrie's drawing of Devin in colour (Part 1),13,13,https://www.deviantart.com/gordon003/art/Carrie-s-drawing-of-Devin-in-colour-Part-1-614847273
Quick Comment on each TD season,3,3,https://www.deviantart.com/gordon003/art/Quick-Comment-on-each-TD-season-610928324
Me in TD form (Re updated!),2,3,https://www.deviantart.com/gordon003/art/Me-in-TD-form-Re-updated-610316187
Carrie Kitty in TDI,53,18,https://www.deviantart.com/gordon003/art/Carrie-Kitty-in-TDI-609135644
TD Zoey - My view on Criticism and Praise on Zoey,2,12,https://www.deviantart.com/gordon003/art/TD-Zoey-My-view-on-Criticism-and-Praise-on-Zoey-608724613
Total Drama Courtney - Over Hated or not?,10,90,https://www.deviantart.com/gordon003/art/Total-Drama-Courtney-Over-Hated-or-not-606971193
Top 8 Total Drama characters with CRAP partner,7,35,https://www.deviantart.com/gordon003/art/Top-8-Total-Drama-characters-with-CRAP-partner-606086652
TD Lindsay as Wonder Woman,38,10,https://www.deviantart.com/gordon003/art/TD-Lindsay-as-Wonder-Woman-604954302
TD Courtney as Human Cricket,45,4,https://www.deviantart.com/gordon003/art/TD-Courtney-as-Human-Cricket-603772358
TDRR Clean version of Carrie  Devin kiss,52,22,https://www.deviantart.com/gordon003/art/TDRR-Clean-version-of-Carrie-Devin-kiss-603531331
My Top 5 Carrie Moment (Total Drama),29,14,https://www.deviantart.com/gordon003/art/My-Top-5-Carrie-Moment-Total-Drama-596943577
Carrie in TDRR,33,3,https://www.deviantart.com/gordon003/art/Carrie-in-TDRR-595371141
Colour version of my previous Total Drama sketch,7,3,https://www.deviantart.com/gordon003/art/Colour-version-of-my-previous-Total-Drama-sketch-594683121
Owen in Total Drama,3,3,https://www.deviantart.com/gordon003/art/Owen-in-Total-Drama-594450653
Bridgette from Total Drama - Sketch,2,0,https://www.deviantart.com/gordon003/art/Bridgette-from-Total-Drama-Sketch-594175499
